code,name,roe,net_profit,np_margin,gp_margin
sh.603066,sh.603066,8.512400000000001,1.2477553341,40.9744,23.419999999999998
sz.301358,sz.301358,8.4964,13.5946312028,9.084,16.1572
sz.000981,sz.000981,8.4191,2.5131114943,35.5005,17.0603
sh.605499,sh.605499,8.4144,12.568912106900001,21.3458,46.8897
sh.603025,sh.603025,8.3667,2.542478266,30.3343,47.5992
sz.002668,sz.002668,8.2968,5.6105944215,11.4828,25.1955
sh.601168,sh.601168,8.260399999999999,25.45231648,13.5937,22.6008
sh.688072,sh.688072,8.2355,5.622767227100001,50.5448,41.6891
sh.688256,sh.688256,8.2017,10.1312501286,35.1207,54.3304
sh.605599,sh.605599,8.1869,4.056862645,2.8424,7.1305
sz.300390,sz.300390,8.1785,11.112539361700001,34.725,46.9945
sz.301500,sz.301500,8.140600000000001,3.9405698802999996,8.669599999999999,15.259900000000002
sh.600744,sh.600744,8.0669,1.5026376478999999,6.5196000000000005,14.7597
sh.603369,sh.603369,8.0262,13.84928951,32.040800000000004,74.4003
sz.002291,sz.002291,7.9468,2.2589402055,35.7987,11.0334
sz.002463,sz.002463,7.786700000000001,12.41439745,19.977600000000002,35.6324
sh.600211,sh.600211,7.760300000000001,2.8283346894999997,39.089800000000004,92.8995
sz.000703,sz.000703,7.7458,28.177248074,9.4087,12.8838
sz.002032,sz.002032,7.7293,5.0542474924,8.592600000000001,25.067099999999996
sz.002517,sz.002517,7.7069,8.2284590481,37.044700000000006,80.7497
sh.688617,sh.688617,7.575,2.2576204692,32.0649,72.4263
sz.300476,sz.300476,7.5741000000000005,12.8842759246,23.3433,34.4585
sh.603198,sh.603198,7.550999999999999,8.374756104600001,37.5582,75.5959
sh.688275,sh.688275,7.545599999999999,4.2154503869,7.8353,14.3489
sh.600489,sh.600489,7.542400000000001,28.6554133183,12.6864,20.465600000000002
sz.002192,sz.002192,7.5066999999999995,2.7679466258999996,73.57780000000001,74.3523
sh.688183,sh.688183,7.4894,4.4471818546,18.448700000000002,35.2055
sh.688308,sh.688308,7.468,2.0258912405,31.4554,44.5141
sh.600251,sh.600251,7.4601,2.9737837452999996,46.863899999999994,9.5292
sh.600186,sh.600186,7.4533000000000005,1.4615558372,14.379,31.433699999999998
sh.688498,sh.688498,7.388999999999999,1.7944196861000001,50.507400000000004,77.80789999999999
sz.000568,sz.000568,7.316000000000001,37.3006454455,46.4795,85.8178
sz.301292,sz.301292,7.3034,2.1645005324,14.3436,21.6223
sh.603906,sh.603906,7.298399999999999,2.8637364719,8.189499999999999,19.7777
sz.002532,sz.002532,7.288,22.1190720982,26.193699999999996,35.605199999999996
sh.600989,sh.600989,7.284400000000001,36.606746432,27.6553,37.4043
sh.688313,sh.688313,7.244299999999999,1.1617590284000001,20.1487,34.1319
sh.603893,sh.603893,7.233199999999999,3.2919465846,27.308799999999998,43.042
sz.000567,sz.000567,7.219399999999999,4.214669062,77.0979,99.405
sz.300604,sz.300604,7.1747000000000005,3.5909846914999997,26.0505,56.8083
sh.603699,sh.603699,7.1618,3.4532426536000003,19.046499999999998,39.1646
sh.600988,sh.600988,7.1342,11.554709723499998,32.508900000000004,59.270100000000006
sh.601600,sh.601600,7.1057999999999995,100.58515,17.1958,25.8276
sz.301031,sz.301031,7.0836,1.1307433005,17.9039,35.8881
sh.601038,sh.601038,7.0829,5.6768373075,12.1578,16.542
sz.002155,sz.002155,7.077700000000001,6.059829634700001,3.2182000000000004,5.2384
sz.001389,sz.001389,7.018199999999999,3.9255347097000004,20.509900000000002,36.9328
sz.002170,sz.002170,7.0074,2.7373616524,20.6193,38.222899999999996
sh.600598,sh.600598,7.005400000000001,5.7861990538,55.271499999999996,64.2689
sh.600285,sh.600285,6.988700000000001,2.4744191098,21.973799999999997,78.1878
sz.002801,sz.002801,6.984,1.3814106358000002,39.7889,25.1014
sz.300863,sz.300863,6.9802,1.0060583543000001,9.9702,10.0308
sz.002832,sz.002832,6.957199999999999,3.8621293927,25.3718,75.2717
sh.600750,sh.600750,6.9084,3.1195171385000005,30.1063,68.1267
sz.000848,sz.000848,6.8995,2.4843734738,21.807299999999998,49.3245
sh.600816,sh.600816,6.8988,10.1778155982,2447.4189,0.0
